RPM Function ID and Name,RPM Activity ID and Name,Capability ID,"(I)input
(P)process
(O)output",Business Capability Statement,Authoritative Reference,Other Source
RPM.010 Real Property Program Planning and Evaluation,RPM.010.010 Real Property Program Strategy and Planning,RPM.010.010.011,I,Capture Federal real property national strategy information,"Capital Programming Guide, Supplement to OMB Circular A-11",
RPM.010 Real Property Program Planning and Evaluation,RPM.010.010 Real Property Program Strategy and Planning,RPM.010.010.012,P,Determine and document real property goals and objectives ,"Capital Programming Guide, Supplement to OMB Circular A-11",
RPM.010 Real Property Program Planning and Evaluation,RPM.010.010 Real Property Program Strategy and Planning,RPM.010.010.013,O,Provide real property goals and objectives ,"Capital Programming Guide, Supplement to OMB Circular A-11",
RPM.010 Real Property Program Planning and Evaluation,RPM.010.010 Real Property Program Strategy and Planning,RPM.010.010.021,P,Develop and document real property program strategy,"Capital Programming Guide, Supplement to OMB Circular A-11",
RPM.010 Real Property Program Planning and Evaluation,RPM.010.010 Real Property Program Strategy and Planning,RPM.010.010.022,O,Provide real property program strategy,"Capital Programming Guide, Supplement to OMB Circular A-11",
RPM.010 Real Property Program Planning and Evaluation,RPM.010.010 Real Property Program Strategy and Planning,RPM.010.010.031,P,Develop and document real property program plans,"Capital Programming Guide, Supplement to OMB Circular A-11",
RPM.010 Real Property Program Planning and Evaluation,RPM.010.010 Real Property Program Strategy and Planning,RPM.010.010.032,O,Provide real property program plans,"Capital Programming Guide, Supplement to OMB Circular A-11",
RPM.010 Real Property Program Planning and Evaluation,RPM.010.010 Real Property Program Strategy and Planning,RPM.010.010.041,P,Develop and document request for information concerning future real property asset needs,"Capital Programming Guide, Supplement to OMB Circular A-11", 
RPM.010 Real Property Program Planning and Evaluation,RPM.010.010 Real Property Program Strategy and Planning,RPM.010.010.042,O,Provide request for information concerning future real property asset needs,"Capital Programming Guide, Supplement to OMB Circular A-11",
RPM.010 Real Property Program Planning and Evaluation,RPM.010.010 Real Property Program Strategy and Planning,RPM.010.010.051,I,Capture response to request for information concerning future real property asset needs,"Capital Programming Guide, Supplement to OMB Circular A-11",
RPM.010 Real Property Program Planning and Evaluation,RPM.010.010 Real Property Program Strategy and Planning,RPM.010.010.052,P,Evaluate response to request for information concerning future real property asset needs against real property program strategy and plans and record results,"Capital Programming Guide, Supplement to OMB Circular A-11",
RPM.010 Real Property Program Planning and Evaluation,RPM.010.010 Real Property Program Strategy and Planning,RPM.010.010.053,O,Provide evaluation results for response to request for information concerning future real property asset needs ,"Capital Programming Guide, Supplement to OMB Circular A-11",
RPM.010 Real Property Program Planning and Evaluation,RPM.010.010 Real Property Program Strategy and Planning,RPM.010.010.061,P,Develop and document forecast information for future real property asset needs,"Capital Programming Guide, Supplement to OMB Circular A-11",
RPM.010 Real Property Program Planning and Evaluation,RPM.010.010 Real Property Program Strategy and Planning,RPM.010.010.062,O,Provide forecast information for future real property asset needs,"Capital Programming Guide, Supplement to OMB Circular A-11",
